Alternating,Fibered,Crossing Number,Unknotting Number,Genus-3D,Crosscap Number,Bridge Index,Braid Index,Braid Length,Signature,Nakanishi Index,Arc Index,Tunnel Number,Morse-Novikov Number,Genus-4D,Genus-4D (Top.),Concordance Genus,Determinant,Rasmussen s,Ozsvath-Szabo tau,Volume,Arf Invariant,Turaev Genus,Small or Large,Positive Braid,Positive,SQ-Positive,Q-Positive,Width,L-space,Epsilon,Quasialternating,Almost Alternating,Double Slice Genus
0.0,0.0,9.0,2.0,1.0,3.0,3.0,4.0,9.0,0.0,2.0,8.0,2.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,4.751701966,0.0,1.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0,1.0,0.0
0.0,1.0,9.0,2.0,3.0,4.0,3.0,4.0,9.0,-2.0,2.0,9.0,2.0,0.0,1.0,1.0,3.0,27.0,2.0,1.0,10.04995786,1.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,1.0,1.0,1.0,2.0
0.0,0.0,9.0,3.0,2.0,3.0,3.0,4.0,11.0,-4.0,2.0,9.0,2.0,2.0,2.0,2.0,2.0,25.0,4.0,2.0,9.427073628,0.0,1.0,0.0,0.0,1.0,1.0,1.0,18.0,0.0,1.0,1.0,1.0,4.0
1.0,0.0,10.0,1.0,1.0,2.0,2.0,6.0,13.0,0.0,1.0,12.0,1.0,2.0,1.0,1.0,1.0,17.0,0.0,0.0,3.526195991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,2.0
1.0,1.0,10.0,3.0,4.0,2.0,2.0,3.0,10.0,-6.0,1.0,12.0,1.0,0.0,3.0,3.0,4.0,23.0,6.0,3.0,5.11484146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,0.0,6.0
1.0,0.0,10.0,2.0,1.0,3.0,2.0,6.0,13.0,0.0,1.0,12.0,1.0,2.0,0.0,0.0,0.0,25.0,0.0,0.0,5.732104787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,1.0
1.0,0.0,10.0,2.0,2.0,2.0,2.0,5.0,12.0,2.0,1.0,12.0,1.0,2.0,1.0,1.0,2.0,27.0,-2.0,-1.0,5.817129693,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,-1.0,1.0,0.0,2.0
1.0,1.0,10.0,2.0,4.0,3.0,2.0,3.0,10.0,4.0,1.0,12.0,1.0,0.0,2.0,2.0,4.0,33.0,-4.0,-2.0,7.373935134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,-1.0,1.0,0.0,4.0
1.0,0.0,10.0,3.0,3.0,3.0,2.0,4.0,11.0,-4.0,1.0,12.0,1.0,2.0,2.0,2.0,3.0,37.0,4.0,2.0,8.390937607,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,0.0,4.0
1.0,0.0,10.0,1.0,2.0,3.0,2.0,5.0,12.0,-2.0,1.0,12.0,1.0,2.0,1.0,1.0,2.0,43.0,2.0,1.0,9.115906396,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,0.0,2.0
1.0,0.0,10.0,2.0,3.0,2.0,2.0,4.0,11.0,-4.0,1.0,12.0,1.0,2.0,2.0,2.0,3.0,29.0,4.0,2.0,6.083234837,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,0.0,4.0
1.0,1.0,10.0,1.0,4.0,3.0,2.0,3.0,10.0,-2.0,1.0,12.0,1.0,0.0,1.0,1.0,4.0,39.0,2.0,1.0,8.294099675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,0.0,2.0
1.0,0.0,10.0,1.0,2.0,3.0,2.0,5.0,12.0,0.0,1.0,12.0,1.0,2.0,1.0,1.0,2.0,45.0,0.0,0.0,9.180573644,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,2.0
1.0,0.0,10.0,2.0,3.0,3.0,2.0,4.0,11.0,2.0,1.0,12.0,1.0,2.0,1.0,1.0,3.0,47.0,-2.0,-1.0,9.817495191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,-1.0,1.0,0.0,2.0
