Name,Two-Bridge Notation,Signature,Determinant,Planar Support,Delta Values,Size of Homology,Parity,d_1 Lee Grading,d_{-1} Lee Grading
10_155,,0,25,1,{0},25,False,"[(0, 0, 0), (4, -4, 0)]","[(-4, -4, 8), (0, 0, 0)]"
10_156,,2,35,1,{-2},35,False,"[(2, -2, -2)]","[(-2, -2, 2)]"
10_157,,4,49,1,{-4},49,False,"[(4, -4, -4)]","[(-4, -4, 4)]"
10_158,,0,45,1,{0},45,False,"[(0, 0, 0)]","[(0, 0, 0)]"
10_159,,-2,39,1,{2},39,False,"[(-2, 2, 2)]","[(2, 2, -2)]"
10_162,,2,35,1,{-2},35,False,"[(2, -2, -2)]","[(-2, -2, 2)]"
10_163,,-2,51,1,{2},51,False,"[(-2, 2, 2)]","[(2, 2, -2)]"
10_164,,0,45,1,{0},45,False,"[(0, 0, 0)]","[(0, 0, 0)]"
10_165,,2,39,1,{-2},39,False,"[(2, -2, -2)]","[(-2, -2, 2)]"
11a_2,,-4,137,1,{4},137,False,"[(-4, 4, 4)]","[(4, 4, -4)]"
11a_3,,2,115,1,{-2},115,False,"[(2, -2, -2)]","[(-2, -2, 2)]"
11a_4,,0,97,1,{0},97,False,"[(4, -4, 0), (0, 0, 0)]","[(0, 0, 0), (-4, -4, 8)]"
11a_5,,0,125,1,{0},125,False,"[(0, 0, 0)]","[(0, 0, 0)]"
11a_6,,-2,135,1,{2},135,False,"[(2, -2, 2), (-2, 2, 2)]","[(2, 2, -2), (-2, -2, 6)]"
11a_7,,2,95,1,{-2},95,False,"[(2, -2, -2)]","[(-2, -2, 2)]"
11a_8,,0,117,1,{0},117,False,"[(4, -4, 0), (0, 0, 0)]","[(0, 0, 0), (-4, -4, 8)]"
11a_9,,-4,65,1,{4},65,False,"[(0, 0, 4), (-4, 4, 4)]","[(4, 4, -4), (0, 0, 4)]"
11a_11,,0,113,1,{0},113,False,"[(0, 0, 0), (-4, 4, 0)]","[(4, 4, -8), (0, 0, 0)]"
11a_12,,-2,103,1,{2},103,False,"[(2, -2, 2), (-2, 2, 2)]","[(2, 2, -2), (-2, -2, 6)]"
11a_13,61/28,0,61,1,{0},61,False,"[(0, 0, 0), (-4, 4, 0)]","[(4, 4, -8), (0, 0, 0)]"
11a_14,,0,133,1,{0},133,False,"[(0, 0, 0), (-4, 4, 0)]","[(4, 4, -8), (0, 0, 0)]"
11a_15,,2,107,1,{-2},107,False,"[(2, -2, -2), (-2, 2, -2)]","[(2, 2, -6), (-2, -2, 2)]"
11a_16,,0,105,1,{0},105,False,"[(4, -4, 0), (0, 0, 0)]","[(0, 0, 0), (-4, -4, 8)]"
11a_17,,-2,123,1,{2},123,False,"[(2, -2, 2), (-2, 2, 2)]","[(2, 2, -2), (-2, -2, 6)]"
11a_18,,-2,127,1,{2},127,False,"[(-2, 2, 2)]","[(2, 2, -2)]"
11a_19,,-2,155,1,{2},155,False,"[(-2, 2, 2)]","[(2, 2, -2)]"
11a_20,,-4,113,1,{4},113,False,"[(-4, 4, 4)]","[(4, 4, -4)]"
11a_21,,-2,75,1,{2},75,False,"[(-2, 2, 2)]","[(2, 2, -2)]"
11a_22,,-4,101,1,{4},101,False,"[(-4, 4, 4)]","[(4, 4, -4)]"
11a_23,,-2,103,1,{2},103,False,"[(-2, 2, 2)]","[(2, 2, -2)]"
11a_24,,0,157,1,{0},157,False,"[(0, 0, 0), (-4, 4, 0)]","[(4, 4, -8), (0, 0, 0)]"
11a_25,,-2,155,1,{2},155,False,"[(-2, 2, 2)]","[(2, 2, -2)]"
11a_26,,0,157,1,{0},157,False,"[(0, 0, 0), (-4, 4, 0)]","[(4, 4, -8), (0, 0, 0)]"
11a_27,,2,143,1,{-2},143,False,"[(2, -2, -2)]","[(-2, -2, 2)]"
11a_28,,0,121,1,{0},121,False,"[(4, -4, 0), (0, 0, 0)]","[(0, 0, 0), (-4, -4, 8)]"
11a_31,,-4,125,1,{4},125,False,"[(-4, 4, 4)]","[(4, 4, -4)]"
11a_32,,-2,139,1,{2},139,False,"[(-2, 2, 2)]","[(2, 2, -2)]"
11a_33,,2,95,1,{-2},95,False,"[(2, -2, -2), (-2, 2, -2)]","[(2, 2, -6), (-2, -2, 2)]"
11a_34,,-2,119,1,{2},119,False,"[(-2, 2, 2)]","[(2, 2, -2)]"
11a_35,,0,121,1,{0},121,False,"[(0, 0, 0), (-4, 4, 0)]","[(4, 4, -8), (0, 0, 0)]"
11a_37,,0,93,1,{0},93,False,"[(0, 0, 0), (-4, 4, 0)]","[(4, 4, -8), (0, 0, 0)]"
11a_39,,0,101,1,{0},101,False,"[(0, 0, 0), (-4, 4, 0)]","[(4, 4, -8), (0, 0, 0)]"
11a_40,,-4,89,1,{4},89,False,"[(-4, 4, 4)]","[(4, 4, -4)]"
11a_41,,-2,115,1,{2},115,False,"[(-2, 2, 2)]","[(2, 2, -2)]"
11a_42,,-2,107,1,{2},107,False,"[(2, -2, 2), (-2, 2, 2)]","[(2, 2, -2), (-2, -2, 6)]"
11a_44,,0,117,1,{0},117,False,"[(0, 0, 0), (-4, 4, 0)]","[(4, 4, -8), (0, 0, 0)]"
11a_45,,-2,87,1,{2},87,False,"[(2, -2, 2), (-2, 2, 2)]","[(2, 2, -2), (-2, -2, 6)]"
11a_46,,-2,87,1,{2},87,False,"[(2, -2, 2), (-2, 2, 2)]","[(2, 2, -2), (-2, -2, 6)]"
11a_47,,0,117,1,{0},117,False,"[(0, 0, 0), (-4, 4, 0)]","[(4, 4, -8), (0, 0, 0)]"
11a_48,,4,113,1,{-4},113,False,"[(4, -4, -4)]","[(-4, -4, 4)]"
11a_49,,-4,105,1,{4},105,False,"[(-4, 4, 4)]","[(4, 4, -4)]"
11a_50,,-2,83,1,{2},83,False,"[(-2, 2, 2)]","[(2, 2, -2)]"
11a_51,,2,115,1,{-2},115,False,"[(2, -2, -2), (-2, 2, -2)]","[(2, 2, -6), (-2, -2, 2)]"
11a_53,,4,97,1,{-4},97,False,"[(4, -4, -4)]","[(-4, -4, 4)]"
11a_54,,2,139,1,{-2},139,False,"[(2, -2, -2)]","[(-2, -2, 2)]"
11a_55,,2,71,1,{-2},71,False,"[(2, -2, -2)]","[(-2, -2, 2)]"
11a_57,,2,99,1,{-2},99,False,"[(2, -2, -2)]","[(-2, -2, 2)]"
11a_58,,0,81,1,{0},81,False,"[(4, -4, 0), (0, 0, 0)]","[(0, 0, 0), (-4, -4, 8)]"
11a_59,43/23,-2,43,1,{2},43,False,"[(-2, 2, 2), (2, -2, 2)]","[(-2, -2, 6), (2, 2, -2)]"
11a_60,,-4,85,1,{4},85,False,"[(-4, 4, 4)]","[(4, 4, -4)]"
11a_61,,-2,103,1,{2},103,False,"[(-2, 2, 2)]","[(2, 2, -2)]"
11a_62,,6,55,1,{-6},55,False,"[(6, -6, -6)]","[(-6, -6, 6)]"
