9_20	aaaBacBcc	t^-7q^18 + 3t^-6q^16 + 5t^-5q^14 + 6t^-4q^12 + 7t^-3q^10 + 7t^-2q^8 + 5t^-1q^6 + 4t^0q^4 + 2t^1q^2 + t^2q^0
9_21	AABaBcBDcD	t^-2q^2 + 3t^-1q^0 + 5t^0q^-2 + 6t^1q^-4 + 8t^2q^-6 + 7t^3q^-8 + 6t^4q^-10 + 4t^5q^-12 + 2t^6q^-14 + t^7q^-16
9_22	AbAbCbbbC	t^-5q^12 + 3t^-4q^10 + 5t^-3q^8 + 7t^-2q^6 + 7t^-1q^4 + 7t^0q^2 + 6t^1q^0 + 4t^2q^-2 + 2t^3q^-4 + t^4q^-6
9_23	aaabAbbcBcc	t^-9q^22 + 3t^-8q^20 + 5t^-7q^18 + 6t^-6q^16 + 8t^-5q^14 + 8t^-4q^12 + 6t^-3q^10 + 5t^-2q^8 + 2t^-1q^6 + t^0q^4
9_24	aaBacBBBc	t^-5q^10 + 2t^-4q^8 + 4t^-3q^6 + 7t^-2q^4 + 7t^-1q^2 + 8t^0q^0 + 7t^1q^-2 + 5t^2q^-4 + 3t^3q^-6 + t^4q^-8
9_25	aaBacbbDcD	t^-7q^16 + 3t^-6q^14 + 5t^-5q^12 + 7t^-4q^10 + 8t^-3q^8 + 8t^-2q^6 + 7t^-1q^4 + 5t^0q^2 + 2t^1q^0 + t^2q^-2
9_26	AAAbAbCbC	t^-3q^4 + 3t^-2q^2 + 4t^-1q^0 + 7t^0q^-2 + 8t^1q^-4 + 8t^2q^-6 + 7t^3q^-8 + 5t^4q^-10 + 3t^5q^-12 + t^6q^-14
9_27	aaBaBBcBc	t^-5q^10 + 3t^-4q^8 + 5t^-3q^6 + 7t^-2q^4 + 8t^-1q^2 + 9t^0q^0 + 7t^1q^-2 + 5t^2q^-4 + 3t^3q^-6 + t^4q^-8
9_28	aaBacBBcc	t^-6q^14 + 3t^-5q^12 + 5t^-4q^10 + 8t^-3q^8 + 9t^-2q^6 + 8t^-1q^4 + 8t^0q^2 + 5t^1q^0 + 3t^2q^-2 + t^3q^-4
9_29	aBBcBaBcB	t^-4q^6 + 3t^-3q^4 + 5t^-2q^2 + 7t^-1q^0 + 9t^0q^-2 + 8t^1q^-4 + 8t^2q^-6 + 6t^3q^-8 + 3t^4q^-10 + t^5q^-12
